experiment,track.order,track.spp,track.type,track.length,breeding.season,native.plant,jawe,rble,rvbu,rwbu,other
60,1,control,con,15,1,1,1,1,0,1,1
60,2,control,con,15,1,1,1,1,0,0,1
60,3,control,con,15,1,1,0,1,0,1,0
60,4,control,con,15,1,1,0,0,0,1,1
60,5,jawe,treat,15,1,1,0,0,0,0,0
60,6,rwbu,treat,15,1,1,0,0,0,1,0
60,7,rble,treat,15,1,1,0,1,0,0,0
60,8,rvbu,treat,15,1,1,0,0,0,1,1
61,1,control,con,15,1,1,1,0,0,0,0
61,2,control,con,15,1,1,0,0,0,0,1
61,3,control,con,15,1,1,0,0,0,0,0
61,4,control,con,15,1,1,0,0,0,0,1
61,5,jawe,treat,15,1,1,1,0,0,0,0
61,6,rwbu,treat,15,1,1,0,0,0,0,0
61,7,rble,treat,15,1,1,1,1,0,0,0
61,8,rvbu,treat,15,1,1,1,0,1,0,1
62,1,control,con,15,1,1,0,1,0,0,1
62,2,control,con,15,1,1,1,0,0,0,1
62,3,control,con,15,1,1,0,0,0,0,1
62,4,control,con,15,1,1,1,0,0,0,1
62,5,jawe,treat,15,1,1,1,0,0,0,0
62,6,rble,treat,15,1,1,1,1,0,0,0
62,7,rvbu,treat,15,1,1,0,1,0,0,0
62,8,rwbu,treat,15,1,1,0,0,0,0,0
63,1,control,con,15,1,1,0,0,0,0,1
63,2,control,con,15,1,1,0,0,0,0,0
63,3,control,con,15,1,1,0,0,0,0,0
63,4,control,con,15,1,1,0,0,0,0,0
63,5,jawe,treat,15,1,1,1,0,0,0,1
63,6,rble,treat,15,1,1,0,0,1,0,0
63,7,rvbu,treat,15,1,1,1,0,1,0,0
63,8,rwbu,treat,15,1,1,0,0,0,0,0
64,1,control,con,15,1,1,0,1,0,0,0
64,2,control,con,15,1,1,0,0,0,0,0
64,3,control,con,15,1,1,0,0,0,0,1
64,4,control,con,15,1,1,0,0,0,0,0
64,5,rwbu,treat,15,1,1,0,0,0,0,0
64,6,rble,treat,15,1,1,0,0,0,0,0
64,7,jawe,treat,15,1,1,1,0,0,0,0
64,8,rvbu,treat,15,1,1,1,0,1,0,1
65,1,control,con,15,1,1,1,0,1,0,0
65,2,control,con,15,1,1,0,0,0,1,0
65,3,control,con,15,1,1,0,0,0,0,0
65,4,control,con,15,1,1,0,0,0,1,0
65,5,jawe,treat,15,1,1,0,0,0,0,0
65,6,rwbu,treat,15,1,1,0,0,0,0,0
65,7,rble,treat,15,1,1,0,1,0,0,0
65,8,rvbu,treat,15,1,1,0,0,0,0,0
66,1,control,con,15,1,0,1,1,0,0,0
66,2,control,con,15,1,0,0,1,1,0,0
66,3,control,con,15,1,0,0,0,0,0,0
66,4,control,con,15,1,0,0,0,0,0,0
66,5,rble,treat,15,1,0,1,1,0,0,1
66,6,rvbu,treat,15,1,0,1,0,1,0,0
66,7,jawe,treat,15,1,0,1,0,0,0,0
66,8,rwbu,treat,15,1,0,0,0,0,0,0
67,1,control,con,15,1,1,0,0,0,0,0
67,2,control,con,15,1,1,1,1,0,0,1
67,3,control,con,15,1,1,0,0,0,0,1
67,4,control,con,15,1,1,1,1,0,0,0
67,5,rwbu,treat,15,1,1,1,0,0,1,0
67,6,jawe,treat,15,1,1,1,0,1,0,0
67,7,rvbu,treat,15,1,1,0,0,1,0,0
67,8,rble,treat,15,1,1,1,0,0,0,0
68,1,control,con,15,1,1,0,0,0,0,1
68,2,control,con,15,1,1,0,0,0,0,0
68,3,control,con,15,1,1,0,1,0,0,1
68,4,control,con,15,1,1,0,0,0,0,0
68,5,jawe,treat,15,1,1,1,0,0,1,0
68,6,rwbu,treat,15,1,1,1,1,0,1,1
68,7,rble,treat,15,1,1,1,0,0,1,0
68,8,rvbu,treat,15,1,1,0,0,0,0,1
69,1,control,con,15,1,0,0,0,0,0,0
69,2,control,con,15,1,0,0,0,0,1,1
69,3,control,con,15,1,0,0,0,0,0,0
69,4,control,con,15,1,0,1,0,0,1,0
